"graph_type","scenario","n","p_over_n","pi_po","pi_d","pev","L","d","gamma","alpha","summary"
"band","p_and_n","50","0.2","0.5","0.5","0.99","5","50","0.0","best","0.035 (0.002)"
"band","p_and_n","50","1.2","0.5","0.5","0.99","5","50","0.0","best","2.252 (0.059)"
"band","p_and_n","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.303 (0.006)"
"band","p_and_n","100","1.2","0.5","0.5","0.99","5","50","0.0","best","18.593 (3.287)"
"band","missing","100","0.2","0.3","0.3","0.99","5","50","0.0","best","0.256 (0.012)"
"band","missing","100","0.2","0.3","0.5","0.99","5","50","0.0","best","0.210 (0.009)"
"band","missing","100","0.2","0.3","0.7","0.99","5","50","0.0","best","0.166 (0.007)"
"band","missing","100","0.2","0.5","0.3","0.99","5","50","0.0","best","0.436 (0.063)"
"band","missing","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.421 (0.013)"
"band","missing","100","0.2","0.5","0.7","0.99","5","50","0.0","best","0.366 (0.026)"
"band","missing","100","0.2","0.7","0.3","0.99","5","50","0.0","best","0.737 (0.018)"
"band","missing","100","0.2","0.7","0.5","0.99","5","50","0.0","best","0.550 (0.065)"
"band","missing","100","0.2","0.7","0.7","0.99","5","50","0.0","best","0.546 (0.088)"
"band","pev","100","0.2","0.5","0.5","0.90","5","50","0.0","best","0.492 (0.022)"
"band","pev","100","0.2","0.5","0.5","0.95","5","50","0.0","best","0.522 (0.018)"
"band","pev","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.361 (0.011)"
"band","L","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.433 (0.011)"
"band","L","100","0.2","0.5","0.5","0.99","9","50","0.0","best","0.617 (0.062)"
"band","part_sep","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.548 (0.143)"
"band","d","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.300 (0.008)"
"band","d","100","0.2","0.5","0.5","0.99","5","100","0.0","best","1.792 (0.054)"
"band","d","100","0.2","0.5","0.5","0.99","5","200","0.0","best","10.755 (0.260)"
"band","gamma","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.342 (0.010)"
"band","gamma","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.337 (0.009)"
"band","gamma","100","0.2","0.5","0.5","0.99","5","50","0.5","best","0.344 (0.010)"
"band","gamma","100","0.2","0.5","0.5","0.99","5","50","0.5","best","0.339 (0.009)"
"band","gamma","100","0.2","0.5","0.5","0.99","5","50","1.0","best","0.348 (0.010)"
"band","gamma","100","0.2","0.5","0.5","0.99","5","50","1.0","best","0.342 (0.010)"
"band","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.319 (0.021)"
"band","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^0*mean","0.182 (0.013)"
"band","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^2*mean","0.312 (0.042)"
"band","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^4*mean","0.401 (0.023)"
"band","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^6*mean","0.238 (0.032)"
