"graph_type","scenario","n","p_over_n","pi_po","pi_d","pev","L","d","gamma","alpha","summary"
"smallworld","p_and_n","50","0.2","0.5","0.5","0.99","5","50","0.0","best","0.030 (0.001)"
"smallworld","p_and_n","50","1.2","0.5","0.5","0.99","5","50","0.0","best","1.498 (0.039)"
"smallworld","p_and_n","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.229 (0.022)"
"smallworld","p_and_n","100","1.2","0.5","0.5","0.99","5","50","0.0","best","17.884 (0.786)"
"smallworld","missing","100","0.2","0.3","0.3","0.99","5","50","0.0","best","0.177 (0.004)"
"smallworld","missing","100","0.2","0.3","0.5","0.99","5","50","0.0","best","0.143 (0.005)"
"smallworld","missing","100","0.2","0.3","0.7","0.99","5","50","0.0","best","0.130 (0.007)"
"smallworld","missing","100","0.2","0.5","0.3","0.99","5","50","0.0","best","0.289 (0.009)"
"smallworld","missing","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.234 (0.006)"
"smallworld","missing","100","0.2","0.5","0.7","0.99","5","50","0.0","best","0.230 (0.018)"
"smallworld","missing","100","0.2","0.7","0.3","0.99","5","50","0.0","best","0.413 (0.014)"
"smallworld","missing","100","0.2","0.7","0.5","0.99","5","50","0.0","best","0.323 (0.014)"
"smallworld","missing","100","0.2","0.7","0.7","0.99","5","50","0.0","best","0.378 (0.054)"
"smallworld","pev","100","0.2","0.5","0.5","0.90","5","50","0.0","best","0.379 (0.013)"
"smallworld","pev","100","0.2","0.5","0.5","0.95","5","50","0.0","best","0.396 (0.030)"
"smallworld","pev","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.216 (0.005)"
"smallworld","L","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.266 (0.024)"
"smallworld","L","100","0.2","0.5","0.5","0.99","9","50","0.0","best","0.453 (0.016)"
"smallworld","part_sep","100","0.2","0.5","0.5","0.99","5","50","0.0","best","1.096 (0.281)"
"smallworld","d","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.233 (0.010)"
"smallworld","d","100","0.2","0.5","0.5","0.99","5","100","0.0","best","1.111 (0.036)"
"smallworld","d","100","0.2","0.5","0.5","0.99","5","200","0.0","best","5.938 (0.155)"
"smallworld","gamma","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.228 (0.007)"
"smallworld","gamma","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.239 (0.010)"
"smallworld","gamma","100","0.2","0.5","0.5","0.99","5","50","0.5","best","0.230 (0.008)"
"smallworld","gamma","100","0.2","0.5","0.5","0.99","5","50","0.5","best","0.243 (0.010)"
"smallworld","gamma","100","0.2","0.5","0.5","0.99","5","50","1.0","best","0.230 (0.007)"
"smallworld","gamma","100","0.2","0.5","0.5","0.99","5","50","1.0","best","0.243 (0.010)"
"smallworld","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.232 (0.015)"
"smallworld","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^0*mean","0.138 (0.010)"
"smallworld","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^2*mean","0.237 (0.030)"
"smallworld","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^4*mean","0.329 (0.017)"
"smallworld","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^6*mean","0.208 (0.041)"
