"graph_type","scenario","n","p_over_n","pi_po","pi_d","pev","L","d","gamma","alpha","summary"
"star","p_and_n","50","0.2","0.5","0.5","0.99","5","50","0.0","best","0.048 (0.003)"
"star","p_and_n","50","1.2","0.5","0.5","0.99","5","50","0.0","best","2.980 (0.146)"
"star","p_and_n","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.459 (0.015)"
"star","p_and_n","100","1.2","0.5","0.5","0.99","5","50","0.0","best","27.981 (1.721)"
"star","missing","100","0.2","0.3","0.3","0.99","5","50","0.0","best","0.306 (0.020)"
"star","missing","100","0.2","0.3","0.5","0.99","5","50","0.0","best","0.260 (0.010)"
"star","missing","100","0.2","0.3","0.7","0.99","5","50","0.0","best","0.208 (0.013)"
"star","missing","100","0.2","0.5","0.3","0.99","5","50","0.0","best","0.512 (0.014)"
"star","missing","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.411 (0.031)"
"star","missing","100","0.2","0.5","0.7","0.99","5","50","0.0","best","0.306 (0.021)"
"star","missing","100","0.2","0.7","0.3","0.99","5","50","0.0","best","0.593 (0.013)"
"star","missing","100","0.2","0.7","0.5","0.99","5","50","0.0","best","0.503 (0.024)"
"star","missing","100","0.2","0.7","0.7","0.99","5","50","0.0","best","0.518 (0.071)"
"star","pev","100","0.2","0.5","0.5","0.90","5","50","0.0","best","0.610 (0.040)"
"star","pev","100","0.2","0.5","0.5","0.95","5","50","0.0","best","0.653 (0.026)"
"star","pev","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.445 (0.017)"
"star","L","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.427 (0.028)"
"star","L","100","0.2","0.5","0.5","0.99","9","50","0.0","best","0.682 (0.021)"
"star","part_sep","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.558 (0.142)"
"star","d","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.445 (0.015)"
"star","d","100","0.2","0.5","0.5","0.99","5","100","0.0","best","2.313 (0.250)"
"star","d","100","0.2","0.5","0.5","0.99","5","200","0.0","best","11.764 (1.133)"
"star","gamma","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.418 (0.036)"
"star","gamma","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.378 (0.044)"
"star","gamma","100","0.2","0.5","0.5","0.99","5","50","0.5","best","0.419 (0.035)"
"star","gamma","100","0.2","0.5","0.5","0.99","5","50","0.5","best","0.382 (0.042)"
"star","gamma","100","0.2","0.5","0.5","0.99","5","50","1.0","best","0.425 (0.034)"
"star","gamma","100","0.2","0.5","0.5","0.99","5","50","1.0","best","0.384 (0.043)"
"star","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","best","0.327 (0.013)"
"star","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^0*mean","0.188 (0.014)"
"star","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^2*mean","0.316 (0.040)"
"star","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^4*mean","0.429 (0.025)"
"star","alpha","100","0.2","0.5","0.5","0.99","5","50","0.0","10^6*mean","0.268 (0.045)"
