"method","metric","val","scenario","n","p_over_n","L","pi_po","pi_d","d","pev","gamma","perc_theta_share","alpha","graph_type"
"poFGGM","ThetaError",0.403304852991348,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.358981788350096,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.350046484717719,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.414822387049282,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.359481857188595,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.3312560602743,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.382382967673033,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.372172364407137,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.361929908833696,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.376377755440871,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.358837285198069,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.359795595054946,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.392355681526241,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.364274409615044,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.376952392564745,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.408988568962143,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.362497120739983,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.384167081254222,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.380423793347279,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.394790081946663,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.363939652522579,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.38492935233559,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.396941418221965,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.375447380895864,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.345973261071686,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.413793954417047,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.368920607141977,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.392060396867468,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.381659861952378,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.411278159133986,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.355411731430433,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.38899127993521,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.372097530394163,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.374047571509205,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.370331154632227,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.396833648310794,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.357530870402921,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.434153876140037,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.404213519689704,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.368635831513348,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.362963038060713,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.400941551098556,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.38086128476714,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.38839730523355,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.367651105395932,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.396392420994855,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.37006623564045,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.376222732606746,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.394441023903408,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.313618626434677,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.388598275692473,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.383724355588789,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.34348344523631,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
"poFGGM","ThetaError",0.371098068174606,"p_and_n","50","0.2","5","0.5","0.5","50","0.99","0.0","1.0","best","star"
