"metric","method","n","p_over_n","summary"
"ThetaError","Oracle","100","0.2","0.370 (0.015)"
"ThetaError","poFGGM","100","0.2","0.370 (0.015)"
"ThetaError","Kraus","100","0.2","0.389 (0.014)"
"ThetaError","Oracle","100","1.2","0.628 (0.013)"
"ThetaError","poFGGM","100","1.2","0.625 (0.013)"
"ThetaError","Kraus","100","1.2","0.644 (0.012)"
"AUC","Oracle","100","0.2","0.874 (0.037)"
"AUC","poFGGM","100","0.2","0.875 (0.036)"
"AUC","Kraus","100","0.2","0.870 (0.035)"
"AUC","Oracle","100","1.2","0.771 (0.007)"
"AUC","poFGGM","100","1.2","0.771 (0.007)"
"AUC","Kraus","100","1.2","0.761 (0.007)"
"CurveError","poFGGM","100","0.2","0.019 (0.007)"
"CurveError","Kraus","100","0.2","0.449 (0.041)"
"CurveError","poFGGM","100","1.2","0.008 (0.004)"
"CurveError","Kraus","100","1.2","0.440 (0.027)"
"ComputationalTime","poFGGM","100","0.2","0.392 (0.024)"
"ComputationalTime","poFGGM","100","1.2","22.428 (7.197)"
