"Date","Airtemperature"
19690701,19
19690702,21.4
19690703,20.2
19690704,18.3
19690705,19.4
19690706,19.9
19690707,13.2
19690708,13.2
19690709,12
19690710,13.3
19690711,13.9
19690712,17.1
19690713,18
19690714,16.1
19690715,21.5
19690716,25
19690717,19.4
19690718,19.1
19690719,20.5
19690720,19.1
19690721,20.7
19690722,23.2
19690723,25.4
19690724,24.7
19690725,21
19690726,21.8
19690727,22.4
19690728,25.3
19690729,24.2
19690730,20.8
19690731,19
19690801,22.9
19690802,22.9
19690803,21
19690804,21.9
19690805,23.8
19690806,21
19690807,18.8
19690808,21.6
19690809,23.4
19690810,22.4
19690811,22
19690812,19.9
19690813,17.5
19690814,19.6
19690815,18.5
19690816,17.4
19690817,18.1
19690818,17.2
19690819,17.5
19690820,15.1
19690821,13.6
19690822,12.6
19690823,13
19690824,14.3
19690825,13.5
19690826,11.6
19690827,13.1
19690828,13.3
19690829,15.5
19690830,15.1
19690831,14.1
19690901,14.3
19690902,13.7
19690903,14.6
19690904,14.1
19690905,14.4
19690906,15.4
19690907,16.4
19690908,16.7
19690909,18.9
19690910,17.6
19690911,19.6
19690912,21.6
19690913,20.5
19690914,19.1
19690915,17.3
19690916,17.7
19690917,15.5
19690918,13.9
19690919,11.1
19690920,10.2
19690921,14.7
19690922,13.4
19690923,10.3
19690924,15.4
19690925,14.6
19690926,14.6
19690927,11.2
19690928,10.4
19690929,11.9
19690930,10.1
19691001,8.9
19691002,10.4
19691003,14.1
19691004,13.3
19691005,14.5
19691006,15.4
19691007,16.8
19691008,17.3
19691009,17
19691010,12
19691011,14.6
19691012,12.4
19691013,11.6
19691014,15.4
19691015,11.8
19691016,13.3
19691017,13.2
19691018,11.4
19691019,11.3
19691020,13.7
19691021,14.2
19691022,13.8
19691023,14.6
19691024,11.3
19691025,11.4
19691026,12
19691027,12.8
19691028,12.9
19691029,9.6
19691030,8.9
19691031,10.5
19691101,9.6
19691102,11.6
19691103,14.3
19691104,10.2
19691105,5.4
19691106,4.4
19691107,5.3
19691108,8
19691109,7.4
19691110,8.8
19691111,13.4
19691112,11.6
19691113,8
19691114,8
19691115,7.1
19691116,8.4
19691117,5.4
19691118,4.2
19691119,10.8
19691120,7.7
19691121,8.6
19691122,9.8
19691123,9.9
19691124,1.9
19691125,2.4
19691126,1.4
19691127,3.1
19691128,2.7
19691129,0.5
19691130,0.4
19691201,-1.2
19691202,2.6
19691203,3.7
19691204,-0.1
19691205,-0.4
19691206,-0.2
19691207,-2
19691208,-0.3
19691209,-1
19691210,-4.8
19691211,-1.5
19691212,1
19691213,0.3
19691214,0.6
19691215,1.8
19691216,-2.5
19691217,-5.3
19691218,-3.9
19691219,-6.4
19691220,-6
19691221,-5.6
19691222,-1.1
19691223,1.4
19691224,3.2
19691225,4.2
19691226,1.4
19691227,-2.8
19691228,-3
19691229,-0.7
19691230,-2.2
19691231,-6.8
19700101,-8.9
19700102,-0.6
19700103,0.7
19700104,-3.4
19700105,-2.2
19700106,0.1
19700107,-1.4
19700108,-1.5
19700109,1.7
19700110,3.3
19700111,6.4
19700112,5.5
19700113,6
19700114,4.8
19700115,5.4
19700116,4.9
19700117,2.3
19700118,3.4
19700119,0.7
19700120,-1
19700121,-2.6
19700122,-1.4
19700123,2
19700124,4.8
19700125,7.1
19700126,7.4
19700127,4.9
19700128,2.4
19700129,1.3
19700130,0.4
19700131,-5.7
19700201,-5.8
19700202,1.8
19700203,5
19700204,3.9
19700205,2.8
19700206,-0.4
19700207,2.7
19700208,5
19700209,4.8
19700210,1.5
19700211,1.4
19700212,0.7
19700213,-3.4
19700214,-2.8
19700215,-5.4
19700216,-1.7
19700217,-1.4
19700218,-3.7
19700219,0.7
19700220,4.5
19700221,5.7
19700222,9.4
19700223,4.8
19700224,4
19700225,3
19700226,1.8
19700227,-0.5
19700228,-1.6
19700301,0
19700302,1.5
19700303,1.2
19700304,0.5
19700305,0.3
19700306,0.8
19700307,0.6
19700308,-0.8
19700309,-0.1
19700310,0.1
19700311,0.8
19700312,4.1
19700313,3.5
19700314,2
19700315,2
19700316,4.3
19700317,6.9
19700318,4.8
19700319,3.8
19700320,7.2
19700321,9.4
19700322,6.6
19700323,10.2
19700324,8.1
19700325,1.8
19700326,3.3
19700327,1.9
19700328,1.3
19700329,3.4
19700330,8
19700331,5.9
19700401,3.2
19700402,2.1
19700403,1.2
19700404,2.4
19700405,1.1
19700406,4.4
19700407,2.3
19700408,2.4
19700409,3.3
19700410,3.9
19700411,5.3
19700412,8.6
19700413,7
19700414,5.4
19700415,8.9
19700416,13.5
19700417,14.2
19700418,12.2
19700419,9.6
19700420,6
19700421,9.1
19700422,12.2
19700423,12.4
19700424,9.6
19700425,9.6
19700426,7.5
19700427,6.1
19700428,6.1
19700429,4.6
19700430,5.6
19700501,6.7
19700502,7.8
19700503,12.1
19700504,14
19700505,15.5
19700506,16.8
19700507,16.7
19700508,17.5
19700509,16.4
