Holidays;;;;
01.01.2010;Neujahr;X;X;
06.01.2010;Heilige drei Könige;X;;BW,BY,ST
14.02.2010;Valentinstag;;;
15.02.2010;Rosenmontag;;;
16.02.2010;Fastnachtsdienstag;;;
17.02.2010;Aschermittwoch;;;
02.04.2010;Karfreitag;X;X;
03.04.2010;Bruekentag;X;X;
04.04.2010;Ostern;;;
05.04.2010;Ostermontag;X;X;
01.05.2010;Maifeiertag;X;X;
09.05.2010;Muttertag;;;
13.05.2010;Christi Himmelfahrt;X;X;
23.05.2010;Pfingstsonntag;;;
24.05.2010;Pfingstmontag;X;X;
03.06.2010;Fronleichnam;X;;BW,BY,HE,NRW,RP,SL, (SN,TH)
08.08.2010;Friedensfest;X;;Augsburg (BY)
15.08.2010;Mariä Himmelfahrt;X;;(K),SL
03.10.2010;Tag der Deutschen Einheit;X;X;
03.10.2010;Erntedankfest;;;
31.10.2010;Reformationstag;X;;BB,MV,SN,ST,TH
31.10.2010;Halloween;;;
01.11.2010;Allerheiligen;X;;BW,BY,NRW,RP,SL
14.11.2010;Volkstrauertag;;;
17.11.2010;Buß- und Bettag;X;;SN
21.11.2010;Totensonntag;;;
28.11.2010;1. Advent;;;
04.12.2010;Barbara;;;
05.12.2010;2. Advent;;;
06.12.2010;Nikolaus;;;
12.12.2010;3. Advent;;;
19.12.2010;4. Advent;;;
24.12.2010;Heiligabend;;;
25.12.2010;1. Weihnachtstag;X;X;
26.12.2010;2. Weihnachtstag;X;X;
27.12.2010;Bruekentag;X;X;
28.12.2010;Bruekentag;X;X;
29.12.2010;Bruekentag;X;X;
30.12.2010;Bruekentag;X;X;
31.12.2010;Silvester;;;
01.01.2011;Neujahr;X;X;
02.01.2011;Bruekentag;X;X;
06.01.2011;Heilige drei Könige;X;;BW,BY,ST
14.02.2011;Valentinstag;;;
07.03.2011;Rosenmontag;;;
08.03.2011;Fastnachtsdienstag;;;
09.03.2011;Aschermittwoch;;;
22.04.2011;Karfreitag;X;X;
23.04.2011;Bruekentag;X;X;
24.04.2011;Ostern;;;
25.04.2011;Ostermontag;X;X;
01.05.2011;Maifeiertag;X;X;
08.05.2011;Muttertag;;;
02.06.2011;Christi Himmelfahrt;X;X;
12.06.2011;Pfingstsonntag;;;
13.06.2011;Pfingstmontag;X;X;
23.06.2011;Fronleichnam;X;;BW,BY,HE,NRW,RP,SL, (SN,TH)
08.08.2011;Friedensfest;X;;Augsburg (BY)
15.08.2011;Mariä Himmelfahrt;X;;(K),SL
02.10.2011;Erntedankfest;;;
03.10.2011;Tag der Deutschen Einheit;X;X;
31.10.2011;Reformationstag;X;;BB,MV,SN,ST,TH
31.10.2011;Halloween;;;
01.11.2011;Allerheiligen;X;;BW,BY,NRW,RP,SL
13.11.2011;Volkstrauertag;;;
16.11.2011;Buß- und Bettag;X;;SN
20.11.2011;Totensonntag;;;
27.11.2011;1. Advent;;;
04.12.2011;Barbara;;;
04.12.2011;2. Advent;;;
06.12.2011;Nikolaus;;;
11.12.2011;3. Advent;;;
18.12.2011;4. Advent;;;
24.12.2011;Heiligabend;;;
25.12.2011;1. Weihnachtstag;X;X;
26.12.2011;2. Weihnachtstag;X;X;
27.12.2011;Bruekentag;X;X;
28.12.2011;Bruekentag;X;X;
29.12.2011;Bruekentag;X;X;
30.12.2011;Bruekentag;X;X;
31.12.2011;Silvester;;;
01.01.2012;Neujahr;X;X;
02.01.2012;Bruekentag;X;X;
06.01.2012;Heilige drei Könige;X;;BW,BY,ST
14.02.2012;Valentinstag;;;
20.02.2012;Rosenmontag;;;
21.02.2012;Fastnachtsdienstag;;;
22.02.2012;Aschermittwoch;;;
