"","pi_po","pi_w","pi_w_min","pi_w_max"
"EG.ELC.COAL.ZS",0.168,0.312,0.032,0.387
"EG.USE.PCAP.KG.OE",0.115,0.774,0.323,0.871
"EG.ELC.RNEW.ZS",0.26,0.322,0.032,0.71
"EG.FEC.RNEW.ZS",0.023,0.247,0.032,0.387
"ER.H2O.FWST.ZS",0.435,0.247,0.032,0.71
"EN.POP.DNST",0.183,0.117,0.065,0.71
"AG.LND.AGRI.ZS",0.183,0.117,0.065,0.71
"NV.AGR.TOTL.ZS",0.29,0.206,0.032,0.71
"AG.PRD.FOOD.XD",0.183,0.117,0.065,0.71
"NY.ADJ.DRES.GN.ZS",0.252,0.228,0.032,0.774
"NY.ADJ.DFOR.GN.ZS",0.244,0.217,0.032,0.677
"ER.H2O.FWTL.ZS",0.435,0.247,0.032,0.71
"AG.LND.FRST.ZS",0.183,0.117,0.065,0.71
"NY.GDP.MKTP.KD.ZG",0.122,0.032,0.032,0.032
